FID,the_geom,code,timestamp,precip_quantity,precip_range,temp,temp_min,temp_max,temp_grass_min,wind_speed,wind_speed_unit,wind_direction,wind_peak_speed,humidity_relative,weather_current,pressure,pressure_station_level,sun_duration_24hours,short_wave_from_sky_24hours,cloudiness
synop_data.fid-3936a7f_196cefdbea8_4633,POINT (50.980293 3.816003),6434,2025-05-13T09:00:00,,,18,,,3.8,1.988,1,78,4,64.3,,1017.7,1015.8,,,
synop_data.fid-3936a7f_196cefdbea8_4634,POINT (50.980293 3.816003),6434,2025-05-13T10:00:00,,,19.1,,,,2.989,1,94.6,5.2,64.3,,1017.9,1016,,,
synop_data.fid-3936a7f_196cefdbea8_4635,POINT (50.980293 3.816003),6434,2025-05-14T03:00:00,,,7.6,,,,0,1,,1.6,89.4,,1018.4,1016.4,,,
synop_data.fid-3936a7f_196cefdbea8_4636,POINT (50.980293 3.816003),6434,2025-05-13T12:00:00,0,1,21.8,,,,2.408,1,89.5,5.2,55.9,,1017.6,1015.7,,,
synop_data.fid-3936a7f_196cefdbea8_4637,POINT (50.980293 3.816003),6434,2025-05-13T13:00:00,,,22.9,,,,2.851,1,102.3,5.1,52.5,,1017.3,1015.4,,,
synop_data.fid-3936a7f_196cefdbea8_4638,POINT (50.980293 3.816003),6434,2025-05-13T14:00:00,,,22.3,,,,2.037,1,55.9,5.2,41.3,,1017,1015.1,,,
synop_data.fid-3936a7f_196cefdbea8_4639,POINT (50.980293 3.816003),6434,2025-05-13T15:00:00,,,23.7,,,,2.174,1,32.3,6.1,36.5,,1016.5,1014.6,,,
synop_data.fid-3936a7f_196cefdbea8_463a,POINT (50.980293 3.816003),6434,2025-05-13T16:00:00,,,23.8,,,,2.841,1,98.8,6.9,32.3,,1016.3,1014.3,,,
synop_data.fid-3936a7f_196cefdbea8_463b,POINT (50.980293 3.816003),6434,2025-05-13T17:00:00,,,23.3,,,,3.48,1,66.1,7.2,34,,1016.1,1014.2,,,
synop_data.fid-3936a7f_196cefdbea8_463c,POINT (50.980293 3.816003),6434,2025-05-13T18:00:00,0,2,22.2,,24,,4.21,1,40.7,8.3,32.6,,1016.4,1014.5,,,
synop_data.fid-3936a7f_196cefdbea8_463d,POINT (50.980293 3.816003),6434,2025-05-13T19:00:00,,,19.9,,,,2.66,1,27.8,6.4,39.6,,1016.5,1014.6,,,
synop_data.fid-3936a7f_196cefdbea8_463e,POINT (50.980293 3.816003),6434,2025-05-13T20:00:00,,,17.4,,,,2.917,1,27,4.4,44.9,,1016.9,1014.9,,,
synop_data.fid-3936a7f_196cefdbea8_463f,POINT (50.980293 3.816003),6434,2025-05-13T21:00:00,,,13.8,,,,1.033,1,21.8,6.4,66,,1017.5,1015.5,,,
synop_data.fid-3936a7f_196cefdbea8_4640,POINT (50.980293 3.816003),6434,2025-05-13T22:00:00,,,11.7,,,,0,1,,2.3,75,,1018.1,1016.1,,,
synop_data.fid-3936a7f_196cefdbea8_4641,POINT (50.980293 3.816003),6434,2025-05-13T23:00:00,,,10.6,,,,0,1,,1.2,81,,1018.3,1016.3,,,
synop_data.fid-3936a7f_196cefdbea8_4642,POINT (50.980293 3.816003),6434,2025-05-14T00:00:00,0,1,9.3,,,,0,1,,6.4,80.9,,1018.3,1016.3,856,25800300,
synop_data.fid-3936a7f_196cefdbea8_4643,POINT (50.980293 3.816003),6434,2025-05-13T11:00:00,,,20.6,,,,1.999,1,88.3,4.5,62.3,,1017.7,1015.8,,,
synop_data.fid-3936a7f_196cefdbea8_4644,POINT (50.980293 3.816003),6434,2025-05-14T11:00:00,,,22.2,,,,3.397,1,37,11,35,,1018.9,1017,,,
synop_data.fid-3936a7f_196cefdbea8_4645,POINT (50.980293 3.816003),6434,2025-05-14T01:00:00,,,9.2,,,,1,1,213.5,1.2,83,,1018.3,1016.2,,,
synop_data.fid-3936a7f_196cefdbea8_4646,POINT (50.980293 3.816003),6434,2025-05-14T02:00:00,,,7.8,,,,1,1,9.3,1.4,84,,1018.3,1016.3,,,
