FID,the_geom,code,timestamp,precip_quantity,precip_range,temp,temp_min,temp_max,temp_grass_min,wind_speed,wind_speed_unit,wind_direction,wind_peak_speed,humidity_relative,weather_current,pressure,pressure_station_level,sun_duration_24hours,short_wave_from_sky_24hours,cloudiness
synop_data.fid--692cef7e_193ba0b33c1_331e,POINT (50.980293 3.816003),6434,2023-06-11T23:00:00,,,19.6,,,,1.066,1,118.2,1.9,86.8,,1014.5,1012.5,,,
synop_data.fid--692cef7e_193ba0b33c1_331f,POINT (50.980293 3.816003),6434,2023-06-12T00:00:00,0,1,20,,,,0,1,,6.8,84,,1014.6,1012.7,735,24109700,
synop_data.fid--692cef7e_193ba0b33c1_3320,POINT (50.980293 3.816003),6434,2023-03-01T01:00:00,,,-2.3,,,,2.041,1,25.4,3.2,79.1,,1031.5,1029.3,,,
synop_data.fid--692cef7e_193ba0b33c1_3321,POINT (50.980293 3.816003),6434,2023-03-01T00:00:00,0,1,-0.5,,,,2.994,1,27.9,3.8,72.8,,1031.7,1029.6,401,10335800,
synop_data.fid--692cef7e_193ba0b33c1_3322,POINT (50.980293 3.816003),6434,2023-03-01T03:00:00,,,-3.3,,,,2.082,1,21.2,4.1,88.4,,1030.4,1028.3,,,
synop_data.fid--692cef7e_193ba0b33c1_3323,POINT (50.980293 3.816003),6434,2023-03-01T02:00:00,,,-0.8,,,,2.979,1,25.3,4.1,83.5,,1031.1,1029,,,
synop_data.fid--692cef7e_193ba0b33c1_3324,POINT (50.980293 3.816003),6434,2023-03-01T05:00:00,,,-1.1,,,,3.144,1,25.4,5.2,86.9,,1030,1027.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3325,POINT (50.980293 3.816003),6434,2023-03-01T04:00:00,,,-1,,,,3.404,1,28.1,4.6,87.1,,1030.1,1028,,,
synop_data.fid--692cef7e_193ba0b33c1_3326,POINT (50.980293 3.816003),6434,2023-03-01T06:00:00,0,2,-1.1,-3.3,,-10,2.929,1,32.4,5.2,85.9,,1029.4,1027.3,,,
synop_data.fid--692cef7e_193ba0b33c1_3327,POINT (50.980293 3.816003),6434,2023-03-01T07:00:00,,,-1.5,,,,2.43,1,36.5,3.8,86.7,,1029.4,1027.3,,,
synop_data.fid--692cef7e_193ba0b33c1_3328,POINT (50.980293 3.816003),6434,2023-03-01T08:00:00,,,-0.2,,,,2.457,1,38.4,3.5,79.6,,1029.5,1027.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3329,POINT (50.980293 3.816003),6434,2023-03-01T09:00:00,,,1.6,,,-10,4.062,1,71.6,5.9,70.9,,1029.4,1027.3,,,
synop_data.fid--692cef7e_193ba0b33c1_332a,POINT (50.980293 3.816003),6434,2023-03-01T10:00:00,,,3,,,,4.57,1,56,7.6,60.8,,1028.8,1026.7,,,
synop_data.fid--692cef7e_193ba0b33c1_332b,POINT (50.980293 3.816003),6434,2023-03-01T11:00:00,,,4.2,,,,5.131,1,66.2,8.8,53,,1028.3,1026.2,,,
synop_data.fid--692cef7e_193ba0b33c1_332c,POINT (50.980293 3.816003),6434,2023-03-01T12:00:00,0,1,5.6,,,,5.54,1,39,8.8,50.6,,1027.7,1025.6,,,
synop_data.fid--692cef7e_193ba0b33c1_332d,POINT (50.980293 3.816003),6434,2023-03-01T14:00:00,,,6.5,,,,5.026,1,42.9,8.1,45.7,,1026.1,1024,,,
synop_data.fid--692cef7e_193ba0b33c1_332e,POINT (50.980293 3.816003),6434,2023-03-01T13:00:00,,,6.3,,,,3.695,1,41.3,8.1,48.6,,1026.9,1024.9,,,
synop_data.fid--692cef7e_193ba0b33c1_332f,POINT (50.980293 3.816003),6434,2023-03-01T16:00:00,,,6.7,,,,4.995,1,48.2,8.7,45.8,,1024.7,1022.6,,,
synop_data.fid--692cef7e_193ba0b33c1_3330,POINT (50.980293 3.816003),6434,2023-03-01T15:00:00,,,6.9,,,,4.895,1,33,9,46.9,,1025.3,1023.2,,,
synop_data.fid--692cef7e_193ba0b33c1_3331,POINT (50.980293 3.816003),6434,2023-03-01T18:00:00,0,2,4.6,,7.1,,3.473,1,42.5,9,54.9,,1024.7,1022.6,,,
synop_data.fid--692cef7e_193ba0b33c1_3332,POINT (50.980293 3.816003),6434,2023-03-01T17:00:00,,,5.9,,,,4.157,1,56.7,6.9,48.3,,1024.5,1022.5,,,
synop_data.fid--692cef7e_193ba0b33c1_3333,POINT (50.980293 3.816003),6434,2023-03-01T20:00:00,,,2.7,,,,2.799,1,47.5,4.9,62.2,,1024.7,1022.6,,,
synop_data.fid--692cef7e_193ba0b33c1_3334,POINT (50.980293 3.816003),6434,2023-03-01T19:00:00,,,3.5,,,,3.19,1,45.7,5,59.2,,1024.9,1022.9,,,
synop_data.fid--692cef7e_193ba0b33c1_3335,POINT (50.980293 3.816003),6434,2023-03-01T22:00:00,,,1.7,,,,2.965,1,38.2,4.4,64.8,,1024.5,1022.4,,,
synop_data.fid--692cef7e_193ba0b33c1_3336,POINT (50.980293 3.816003),6434,2023-03-01T21:00:00,,,2.2,,,,2.943,1,39.6,5,63.5,,1024.8,1022.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3337,POINT (50.980293 3.816003),6434,2023-03-02T00:00:00,0,1,-1.5,,,,2.233,1,30.1,5,77.5,,1024.9,1022.7,621,13075600,
synop_data.fid--692cef7e_193ba0b33c1_3338,POINT (50.980293 3.816003),6434,2023-03-01T23:00:00,,,-1.2,,,,1.94,1,30.5,3.8,81.7,,1024.9,1022.7,,,
synop_data.fid--692cef7e_193ba0b33c1_3339,POINT (50.980293 3.816003),6434,2023-03-02T02:00:00,,,-2.6,,,,2.167,1,39.1,3,80.4,,1023.9,1021.8,,,
synop_data.fid--692cef7e_193ba0b33c1_333a,POINT (50.980293 3.816003),6434,2023-03-02T01:00:00,,,-2.2,,,,1.892,1,31.4,3.4,78,,1024.5,1022.4,,,
synop_data.fid--692cef7e_193ba0b33c1_333b,POINT (50.980293 3.816003),6434,2023-03-02T04:00:00,,,-1.4,,,,2.306,1,26.5,4.5,80.3,,1023.7,1021.5,,,
synop_data.fid--692cef7e_193ba0b33c1_333c,POINT (50.980293 3.816003),6434,2023-03-02T03:00:00,,,-1.1,,,,2.85,1,31.3,3.8,78,,1023.7,1021.5,,,
