"TOA5","CR350","CR350","4452","CR350.Std.01.04","CPU:Station_Toren.CRB","6321","Table_Toren"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","Total","Diffuse"
"TS","RN","Volts","Deg C","mV","mV"
"","","Avg","Avg","Avg","Avg"
"2023-06-22 13:45:00",0,13.09,19.08,220.8,220.8
"2023-06-22 14:00:00",1,13.09,18.72,327.6,327.6
"2023-06-22 14:15:00",2,13.09,18.48,325.3,325.4
"2023-06-22 14:30:00",3,13.08,18.37,317.2,317.4
"2023-06-22 14:45:00",4,13.08,18.32,442.5,441.8
"2023-06-22 15:00:00",5,13.08,18.32,452.8,452.8
"2023-06-22 15:15:00",6,13.08,18.37,391.6,391.9
"2023-06-22 15:30:00",7,13.08,18.42,334.2,334.3
"2023-06-22 15:45:00",8,13.08,18.43,390.1,390.1
"2023-06-22 16:00:00",9,13.08,18.43,501.5,501.8
"2023-06-22 16:15:00",10,13.08,18.48,451.3,451.5
"2023-06-22 16:30:00",11,13.07,18.53,554.1,554
"2023-06-22 16:45:00",12,13.08,18.69,643.2,643.1
"2023-06-22 17:00:00",13,13.07,18.93,493.9,494.2
"2023-06-22 17:15:00",14,13.07,19.1,427.6,428
"2023-06-22 17:30:00",15,13.07,19.2,467.7,467.7
"2023-06-22 17:45:00",16,13.07,19.32,707.5,684.8
"2023-06-22 18:00:00",17,13.07,19.56,415.1,413.9
"2023-06-22 18:15:00",18,13.07,19.74,295.9,295.2
"2023-06-22 18:30:00",19,13.07,19.82,293.5,292.1
"2023-06-22 18:45:00",20,13.07,19.87,394.6,392.1
"2023-06-22 19:00:00",21,13.07,19.93,393.9,393.7
"2023-06-22 19:15:00",22,13.07,20.01,322.7,322.8
"2023-06-22 19:30:00",23,13.07,20.02,349.8,336.3
"2023-06-22 19:45:00",24,13.07,20,287.6,282.3
"2023-06-22 20:00:00",25,13.07,19.96,195.9,195.5
"2023-06-22 20:15:00",26,13.07,19.88,187.4,185.2
"2023-06-22 20:30:00",27,13.07,19.79,164.9,164.1
"2023-06-22 20:45:00",28,13.07,19.72,139.3,139.7
"2023-06-22 21:00:00",29,13.07,19.62,99.4,99
"2023-06-22 21:15:00",30,13.07,19.5,76.6,76.82
"2023-06-22 21:30:00",31,13.06,19.34,50.44,51.03
"2023-06-22 21:45:00",32,13.07,19.17,27.4,27.69
"2023-06-22 22:00:00",33,13.06,18.99,14.33,14.69
"2023-06-22 22:15:00",34,13.06,18.82,7.252,7.291
"2023-06-22 22:30:00",35,13.06,18.65,5.543,5.922
"2023-06-22 22:45:00",36,13.06,18.48,5.536,5.635
"2023-06-22 23:00:00",37,13.06,18.31,5.535,5.9
"2023-06-22 23:15:00",38,13.06,18.13,5.52,5.628
"2023-06-22 23:30:00",39,13.06,17.96,5.786,5.723
"2023-06-22 23:45:00",40,13.06,17.8,5.521,5.62
"2023-06-23 00:00:00",41,13.06,17.63,5.529,5.869
"2023-06-23 00:15:00",42,13.06,17.45,5.549,5.606
"2023-06-23 00:30:00",43,13.06,17.28,5.687,5.822
"2023-06-23 00:45:00",44,13.05,17.11,5.518,5.61
"2023-06-23 01:00:00",45,13.05,16.98,5.501,5.692
"2023-06-23 01:15:00",46,13.05,16.85,5.495,5.603
"2023-06-23 01:30:00",47,13.05,16.69,5.5,5.871
"2023-06-23 01:45:00",48,13.05,16.52,5.488,5.579
"2023-06-23 02:00:00",49,13.05,16.33,5.768,5.582
"2023-06-23 02:15:00",50,13.05,16.16,5.563,5.576
"2023-06-23 02:30:00",51,13.05,16,5.522,5.58
"2023-06-23 02:45:00",52,13.04,15.86,5.466,5.573
"2023-06-23 03:00:00",53,13.05,15.72,5.706,5.572
"2023-06-23 03:15:00",54,13.04,15.6,5.465,5.849
"2023-06-23 03:30:00",55,13.04,15.5,5.474,5.571
"2023-06-23 03:45:00",56,13.04,15.4,5.501,5.568
"2023-06-23 04:00:00",57,13.04,15.31,5.552,5.829
"2023-06-23 04:15:00",58,13.04,15.22,5.471,5.563
"2023-06-23 04:30:00",59,13.04,15.15,5.463,5.751
"2023-06-23 04:45:00",60,13.03,15.05,5.738,5.61
"2023-06-23 05:00:00",61,13.04,14.95,5.46,5.557
"2023-06-23 05:15:00",62,13.03,14.84,5.465,5.559
"2023-06-23 05:30:00",63,13.03,14.76,6.783,7.127
"2023-06-23 05:45:00",64,13.03,14.74,12.51,12.62
"2023-06-23 06:00:00",65,13.03,14.76,20.29,20.53
